	code	seed	cols	posX	posY
154	29071430	13	1	502.4807348075652	552.2594545460436
155	29071430	13	2	1013.9342232390001	623.8164940390001
156	29071430	19	0	689.907812468238	636.6142533075239
157	29071430	19	1	683.9598046572729	705.0316368378636
158	29071430	19	2	965.9167424484091	310.40804465109085
159	29071430	26	0	788.4188835588889	532.6083259208888
160	29071430	26	1	714.0112217629093	735.2927949002727
161	29071430	26	2	913.6288486364546	320.5127661024091
162	29071600	4	0	775.4044070806499	579.63927445685
163	29071600	4	1	679.480912211889	612.1591042719999
164	29071600	4	2	927.0102190990001	516.94991623725
165	29071600	13	0	561.608455091077	566.6075520962307
166	29071600	13	1	538.1512055545385	529.1548309041538
167	29071600	13	2	926.8806208141999	597.7113675898
168	29071600	19	0	671.9516616412963	599.0647277822593
169	29071600	19	1	668.7582657172143	618.2275139967858
170	29071600	19	2	883.5462417598333	384.5180669067501
171	29071600	26	0	772.0694798484615	529.3472797678077
172	29071600	26	1	707.7044130757272	656.5291412085909
173	29071600	26	2	849.4963941205714	406.10806217728566
174	30071430	4	0	759.3128879403637	608.6459139332727
175	30071430	4	1	664.0145821045	624.37641115275
176	30071430	13	0	526.3919902209092	594.7555718176363
177	30071430	13	1	563.2080903775	593.4385901124999
178	30071430	13	2	873.282835696	677.3887486663333
179	30071430	19	0	661.8853879512221	667.1601430646666
180	30071430	19	1	654.2237125686154	641.6770549727692
181	30071430	19	2	905.2228267157	405.01436281119993
182	30071430	26	0	735.1085406359166	610.0175907005834
183	30071430	26	1	704.6115352208667	670.9123602143999
184	30071430	26	2	830.5477339353333	481.0791837526667
